alá	under.to	0	0	1	1	1	1
alapján	based_on	1	0	1	1	0	0
alatt	under.at	1	1	1	1	1	1
alól	under.from	1	1	1	1	1	1
által	by	1	0	1	1	1	1
alul	below	1	0	0	1	0	0
át	through	0	0	0	0	0	0
belül	inside_of	3	0	1	1	0	0
céljából	with_the_aim_of	1	0	1	1	0	2
együtt	together	0	0	0	0	0	0
elé	in.front.of.to	0	0	1	1	1	1
ellen	against	1	1	1	1	1	1
ellenére	despite	1	0	1	1	0	2
elől	in.front.of.from	1	1	1	1	1	1
előtt	in.front.of.at	1	1	1	1	1	1
esetén	in_case_of	1	0	1	1	0	2
felé	towards	1	1	1	1	1	1
felől	from_the_direction_of	1	1	1	1	1	1
felül	over	1	0	0	0	0	0
fogva	from_(time)	1	0	1	1	0	0
fölé	above.to	1	1	1	1	1	1
fölött	above.at	1	1	1	1	1	1
fölül	above.from	1	0	1	1	0	1
folytán	as_a_consequence_of	1	0	1	3	0	2
gyanánt	as	1	1	1	2	2	2
hasonlóan	similarly	0	0	0	1	0	0
helyett	instead_of	1	1	1	1	1	1
hosszat	for	1	1	1	2	2	2
innen	on_this_side_of	0	0	0	3	0	0
iránt	towards	1	1	1	1	1	1
ízben	times	1	1	1	2	2	2
javára	in_favour_of	1	0	0	1	0	1
kedvéért	for_the_sake_of	1	0	0	1	0	1
képest	compared_to	1	0	0	1	0	0
keresztül	through	0	0	0	0	0	0
kezdve	beginning_from	0	0	1	1	0	0
kivéve	except_for	0	0	0	1	0	0
kívül	outside	0	0	0	1	0	0
kívülre	outside.to	1	0	0	1	0	0
kívülről	outside.from	1	0	1	1	0	2
köré	around.to	1	1	1	1	1	1
körül	around.at	1	1	1	1	1	3
következtében	as_a_consequence_of	1	0	1	1	0	2
közben	during	1	1	1	1	1	2
közé	between.to	1	1	1	1	1	1
közel	close_to	0	0	0	0	0	0
között	between.at	1	1	1	1	1	1
közül	between.from	1	1	1	1	1	1
létére	despite_being	1	1	1	2	2	2
mellé	near.to	1	1	1	1	1	1
mellett	near.at	1	1	1	1	1	1
mellől	near.from	1	1	1	1	1	1
miatt	because_of	1	1	1	1	1	1
módjára	way_of	1	1	1	2	0	2
módra	mode_of	1	1	1	2	2	2
mögé	behind.to	1	1	1	1	1	1
mögött	behind.at	1	1	1	1	1	1
mögül	behind.from	1	1	1	1	1	1
múltán	after_(time)	1	1	1	1	0	2
múlva	after_(time)	1	1	1	2	2	2
nélkül	without	1	1	1	1	1	1
nézve	regarding	1	0	1	1	0	0
nyomán	based_on	1	0	1	1	0	2
óta	since	1	1	1	1	1	2
részére	for	1	0	1	1	0	1
révén	by_means_of	1	0	1	1	0	2
során	in_the_course_of	1	0	1	1	0	1
számára	for	1	0	1	1	0	1
szembe	opposite.to	0	0	0	1	0	0
szemben	opposite.at	0	0	0	1	0	0
szemből	opposite.from	4	4	4	4	0	0
szemközt	opposite.at	0	0	0	1	0	0
szerint	according_to	1	1	1	1	1	1
tájban/tájt	around_(time)	1	1	1	2	2	2
túl	beyond	0	0	0	0	0	0
túlra	beyond.to	1	0	0	1	0	0
túlról	beyond.from	1	0	0	1	0	0
után	after	1	1	1	1	1	1
útján	by_way_of	1	0	1	1	0	2
végett	with_the_aim_of	1	1	1	1	2	1
végig	’to_the_end_of’	0	0	0	0	0	0
